id_game,pemenang,strategi_pembuka
5PvEQ9Sy,black,Italian Game
arq1ppsY,black,Italian Game
6uuOABI0,white,Italian Game
Boh1VmhD,white,Sicilian Defense
aIi2icYa,black,French Defense
8mNaOWxA,black,French Defense
tO1vRAuf,black,Sicilian Defense
b9FGH8w4,black,French Defense
c9FtlI88,black,Sicilian Defense
2sbOlJlS,black,Sicilian Defense
2OTuvYhU,black,Sicilian Defense
vrxpPM8d,black,Sicilian Defense
eWevjNQQ,black,Italian Game
QS09QpF4,black,French Defense
uAqIzIhW,black,French Defense
ooJUb6U6,black,French Defense
xVx0ywcx,black,French Defense
AXJm2Z6L,white,Italian Game
hmi2KLq5,white,Sicilian Defense
1R6OniJM,white,Sicilian Defense
gzp0O4oQ,black,Italian Game
RYZCCjsJ,black,Sicilian Defense
iZSiMjQt,black,Italian Game
ed1dHxYZ,white,French Defense
NrwYGUr6,black,Italian Game
mDHMtvra,white,French Defense
UWBzJLz7,white,Sicilian Defense
Ojdw47zH,black,French Defense
eSXUIRBW,black,Sicilian Defense
Eo0Vsnnn,white,Sicilian Defense
q5sOl72s,white,Sicilian Defense
vdHgIwh6,black,Sicilian Defense
HT5qFt31,white,Sicilian Defense
tc7uJ7wy,white,Sicilian Defense
WQLn8OYD,white,Sicilian Defense
HvgVmeCS,white,Sicilian Defense
D14rRdhl,black,French Defense
qqbXj0zH,white,Sicilian Defense
uSPut5yZ,white,Italian Game
5R4XkFpr,black,French Defense
yD9GU53S,black,Italian Game
Awk1OiwG,white,French Defense
29YxdZwB,white,French Defense
qWuqEzBj,black,Sicilian Defense
eTrClrW9,white,Sicilian Defense
RfBaLwlr,white,Sicilian Defense
jIkYW7nv,black,Italian Game
iaCpG2DG,white,French Defense
3G1C8IEN,white,Sicilian Defense
cklM9vsS,white,Sicilian Defense
7JODKwpW,black,French Defense
663gBw0G,black,Italian Game
HT96bNtb,white,French Defense
1sR7lupq,black,French Defense
PGeCWgTi,white,Italian Game
NKpFTUJs,black,French Defense
rcGHsqiZ,white,French Defense
Y8hlvYrx,white,Sicilian Defense
vPTBPfXV,black,Italian Game
cIKROV2q,black,Sicilian Defense
RPB3NMuq,black,Italian Game
iaFLa7m1,white,Italian Game
UCyQZaWw,black,Italian Game
e9FR6HTd,black,Italian Game
FXEbd5EQ,white,French Defense
BjmFCC3C,black,Italian Game
ooVLKWzi,black,Sicilian Defense
vXdDbYcc,white,Sicilian Defense
xOwN9MkO,white,Sicilian Defense
xYbotSax,white,Italian Game
wHXoMxoJ,black,Italian Game
kKaIvvoW,white,Italian Game
Y8eiCmvb,black,French Defense
MeLYe317,white,Italian Game
bYrYYmOG,black,Italian Game
tboMrDEr,white,French Defense
rLUWoK67,black,Sicilian Defense
NNcoeUsL,white,Sicilian Defense
ysS8wnFb,white,Italian Game
6O6svdvS,white,Sicilian Defense
eKlS0WBp,black,Italian Game
EaQq9YAC,black,French Defense
nwnrsKKO,black,French Defense
vzXcAx2g,black,Italian Game
gx3HSa3o,black,French Defense
14d5BErN,white,French Defense
2uU5PU2g,white,French Defense
QOt4u6SW,white,Sicilian Defense
HV6L0Xol,black,Italian Game
xm0P8dGh,black,Italian Game
KHwnlksj,white,French Defense
LnKruuqZ,white,Sicilian Defense
flmp87O4,white,French Defense
kHUU2Lfm,white,Italian Game
S4lfEw4M,black,French Defense
2vLEf1gv,white,French Defense
fXXRphIf,white,Italian Game
LDjTbQTP,white,Italian Game
RWdh02Tr,black,French Defense
oJoAU7Fr,white,Sicilian Defense
yl6cXbA6,white,Sicilian Defense
o6jtdb4p,white,Sicilian Defense
BDRAVk0u,white,Sicilian Defense
X4HCivR7,black,Sicilian Defense
lcucYQ8n,white,Sicilian Defense
T1U86wpb,white,Sicilian Defense
NZxX4AGO,white,Sicilian Defense
ZRtNe06d,white,Sicilian Defense
0FEDk7AN,black,Sicilian Defense
cY7ZXnCn,white,Sicilian Defense
yMsGdfoa,black,Sicilian Defense
U7jOpZfN,black,Sicilian Defense
GoBFn8W0,white,Sicilian Defense
oDVV31Yp,black,Sicilian Defense
kp0IguCX,white,Sicilian Defense
btvoSQWD,white,Sicilian Defense
C5NlVFQN,black,Italian Game
JOnxnmo6,white,Sicilian Defense
FAt77ZWJ,black,Sicilian Defense
cpuDAJRW,white,Sicilian Defense
eFHWb0Bl,black,Sicilian Defense
foyMj5Qz,black,Sicilian Defense
6t1HAivu,white,Sicilian Defense
D9UPmygt,white,Sicilian Defense
C9NNh3gs,white,Sicilian Defense
qRIdGAA1,black,Sicilian Defense
gxJ9QBmR,white,Sicilian Defense
Lzd1wWUu,black,Sicilian Defense
AOvPSczB,white,French Defense
1f0BDvug,white,Sicilian Defense
55HFSsdJ,white,Sicilian Defense
j8BbvSfi,white,French Defense
2ZzlexnZ,white,Italian Game
Al60YkNu,white,Italian Game
2LFiH2Uz,black,French Defense
Ym6IJMUJ,white,Sicilian Defense
0h2vomc1,white,Sicilian Defense
U7Ldz7h7,black,Sicilian Defense
aTgWa9wh,black,Sicilian Defense
rdIz93YP,black,Sicilian Defense
P1jhxZXy,white,Sicilian Defense
jsDUEHVo,black,Sicilian Defense
fOVAgERZ,white,French Defense
IsrvOLZO,black,Sicilian Defense
ojSosVNy,black,Sicilian Defense
2pteKPYV,white,Sicilian Defense
ZmrjzoIM,black,French Defense
VoPvZFYx,white,Sicilian Defense
RwxQ7oxk,black,Sicilian Defense
5u9RnM78,white,Sicilian Defense
AKqNMl1e,black,Sicilian Defense
Pn6ePQG0,white,French Defense
7DalqMTu,white,Sicilian Defense
WSDe0tBL,black,French Defense
optCMdlD,white,Sicilian Defense
BtiNa3v8,white,Sicilian Defense
If0NE6A6,black,Sicilian Defense
HikB8dBt,black,French Defense
YCEKNJhX,black,Sicilian Defense
pP1snJR1,black,Sicilian Defense
boAihvyd,white,Sicilian Defense
Ajfuq7uC,white,Italian Game
V76qHSgf,black,Italian Game
V8SwS4J6,white,Sicilian Defense
P2VQpJwX,white,Sicilian Defense
uHKdeMFq,black,Italian Game
s9FQgwqr,black,Sicilian Defense
DX88RC92,black,Sicilian Defense
33SSmEqC,white,French Defense
tlIFAXVo,white,French Defense
MUp0E0hz,black,French Defense
VKqQFLrp,white,Sicilian Defense
I3QI3tcT,white,Sicilian Defense
mbakKdOR,black,Sicilian Defense
JfI1YYYk,white,Sicilian Defense
P0He9I4m,white,Sicilian Defense
7NvdRC8V,black,Sicilian Defense
JElusY2p,black,Sicilian Defense
yi2xPE7T,white,Sicilian Defense
jijeCk1l,white,Sicilian Defense
9r5zfTGS,white,Sicilian Defense
FNPIbnwf,black,Sicilian Defense
YT53T6Rz,white,Sicilian Defense
JeKSeily,white,Sicilian Defense
8TKmtNf2,white,Sicilian Defense
V8eDU7iq,white,Sicilian Defense
V9xscecv,white,Sicilian Defense
AHXojpIK,white,Sicilian Defense
R3nrXrqZ,white,Italian Game
vUrcxhu3,white,Italian Game
bDcOkAPl,white,Sicilian Defense
Mn1LbgKu,white,Sicilian Defense
U8iQ7CIG,black,Sicilian Defense
9nhiwIrc,black,Sicilian Defense
ZzVYVfuL,white,French Defense
6ogtGrQt,white,Sicilian Defense
TYJHQxJo,white,Sicilian Defense
kTSNXSyN,black,Sicilian Defense
6lNhqUra,black,Sicilian Defense
WB7GBnxy,white,Sicilian Defense
BPrTBmfm,black,Sicilian Defense
r7yRPKaY,white,French Defense
vquNGkFY,white,French Defense
04EIrpaP,white,French Defense
K1AmmvZe,white,French Defense
ikYC1Cge,white,French Defense
S0JaS1jI,white,French Defense
wGdnRsMi,black,French Defense
KbK72fSq,white,French Defense
1Zod3Qv9,white,French Defense
6iuCD2Ei,white,French Defense
GNpQjE1K,black,French Defense
EqKRhO8u,black,Sicilian Defense
Vg2JcMOE,black,French Defense
jRv30KI1,black,French Defense
BQTkPWBJ,white,French Defense
O4Gkxrm5,black,French Defense
oJxtaZV1,white,Italian Game
bqAChXeW,white,Italian Game
3mXiVTP1,white,French Defense
uBiBXa79,black,French Defense
3c1ok8Yr,black,French Defense
nJLGbyL8,white,Italian Game
tUP12rDG,black,Sicilian Defense
atvrScaB,white,Italian Game
xCrd3EaK,white,Italian Game
RUcEMTch,black,French Defense
w6yQObUB,black,Italian Game
uYz3bt4v,black,French Defense
VxTT5AS7,white,French Defense
PMp6DMRt,white,French Defense
xDSz0IvJ,white,French Defense
l81vn5EI,black,Italian Game
4PdXXPTD,black,French Defense
MWP0253V,white,French Defense
bukaG0y8,white,French Defense
yu53Bu4z,white,French Defense
qO0X8v2F,black,French Defense
st5BpERu,white,French Defense
wK4GQAj3,white,French Defense
8RkCBYpm,white,French Defense
2kO3kKu6,white,French Defense
IFp8nfQZ,white,Sicilian Defense
UPcUB2Tt,white,Sicilian Defense
fSGIGtCs,white,French Defense
BNF3lL3A,white,Sicilian Defense
Sr1rM0fj,black,French Defense
UIzzkIrU,black,French Defense
T5zJ8LrR,white,French Defense
mB1jGzRN,white,French Defense
WdLfHotx,black,Sicilian Defense
PxpPRBS0,black,Italian Game
3mKOHzw7,black,Sicilian Defense
B3tErunx,black,French Defense
bqnOjpTT,black,Sicilian Defense
nDdY19oK,black,Sicilian Defense
dD8NMFWq,black,Sicilian Defense
f7gmW1Ld,white,French Defense
RSWn3dym,white,Sicilian Defense
Iuo32IUI,white,Sicilian Defense
6Is0IXFg,black,Italian Game
gzKxnMzD,white,Italian Game
1nwBCZ0R,white,Sicilian Defense
nLJUV1jL,white,Sicilian Defense
Z2MOp4iS,black,Sicilian Defense
JOhiCu2b,black,Sicilian Defense
ThP7773E,white,Sicilian Defense
CYeIrdEp,white,Sicilian Defense
DRTzilcV,white,Sicilian Defense
IdP6M5Di,white,Sicilian Defense
5HirxflU,black,Sicilian Defense
P3SwoQ4j,black,Sicilian Defense
GAE1WjW7,white,Sicilian Defense
nxDsrrWl,white,Sicilian Defense
xXtwQKG2,black,French Defense
D2NhMhgw,white,French Defense
isHrh3sR,white,Sicilian Defense
cd1DWtOo,white,Sicilian Defense
eBKMJuCi,white,French Defense
6Qy2vYGH,white,Sicilian Defense
fQJtqVJL,white,French Defense
BdIezB0A,black,Sicilian Defense
wP21dJIn,black,Italian Game
dUvHyHgs,white,Sicilian Defense
IqB4wiEU,white,Sicilian Defense
P14JYgF9,black,Sicilian Defense
XsbEuihN,white,Sicilian Defense
XyipO93f,white,Sicilian Defense
BYhwzXGh,black,Sicilian Defense
yajeysYN,white,Italian Game
QrnjLjKH,black,Sicilian Defense
NmVwEdw4,white,Sicilian Defense
hTsBJWOA,black,Sicilian Defense
P4Z4fzA0,white,Italian Game
sIFGXZdZ,black,Italian Game
hkG6G65F,black,Sicilian Defense
TMQYF9q7,black,Italian Game
E3vUrIpP,white,Sicilian Defense
25s8Jqfj,black,French Defense
mIF3Zc9B,white,Italian Game
96vGoqIJ,black,Italian Game
guRhqi9D,white,French Defense
tLSOm1m2,black,Italian Game
hxKBvkBd,black,Sicilian Defense
OVF5qbNT,white,Italian Game
IyJH0dwA,black,Sicilian Defense
pNu4BXfj,black,Sicilian Defense
Sf6NjBEs,black,Italian Game
krF9Dz1b,white,Sicilian Defense
pKnZiFpW,black,Sicilian Defense
Grubcd0I,white,Italian Game
rBEQ3gqc,white,Sicilian Defense
YNUaWz9u,white,Sicilian Defense
3YGKZ2Wq,white,Sicilian Defense
MzwM3FTF,black,Sicilian Defense
jElEAAJd,white,French Defense
NeBG92UZ,white,Sicilian Defense
uxB4EezK,white,Italian Game
xp2ZOhBQ,white,Sicilian Defense
L18MX1x3,black,French Defense
NscsBm2s,white,French Defense
qNSNQJ8c,black,Sicilian Defense
94JCPpaL,black,French Defense
Ac6CB7hz,black,French Defense
8qYTysFk,black,Italian Game
Q3VXvZTS,black,French Defense
rTiytsQN,black,French Defense
G4k1jK69,black,French Defense
ShGLDecv,white,French Defense
QNc6GrSl,white,French Defense
ukFFxi1H,white,French Defense
AT83WBD9,white,French Defense
YzrWlckd,white,French Defense
NezbKvl7,black,Sicilian Defense
qloW1jcG,white,French Defense
D1SkxJzy,white,French Defense
Pky8l3Lt,white,French Defense
5OGbiIWT,white,French Defense
cD38oLH2,black,French Defense
J3XT3dpb,white,French Defense
b9SIcVDM,white,French Defense
83vhI5GR,black,Sicilian Defense
WX24MyQf,white,Italian Game
JAl8hjBY,black,Sicilian Defense
0pq6PAVb,black,French Defense
9Jgd3ECw,white,Italian Game
BaHl4cje,black,French Defense
gPohywvO,white,Sicilian Defense
Gidrnr39,white,Italian Game
kPkQGuG3,white,Sicilian Defense
mZjuXev2,white,French Defense
P1pJekpv,white,Italian Game
YeANMECT,black,Italian Game
x6Di4GBX,white,French Defense
iL5gfkLi,white,Sicilian Defense
roan7WHy,black,Italian Game
37cIabzi,black,Sicilian Defense
2SOMFlxB,white,Italian Game
uRFTxnq6,white,Sicilian Defense
i13EWVDl,black,Sicilian Defense
3cfWPf0y,black,Italian Game
S6FSwnve,black,French Defense
SyWbDLpe,white,Italian Game
xEWJADlu,white,Italian Game
iBZP1i4L,white,Sicilian Defense
8B5PTymc,black,Sicilian Defense
CU7oKMxy,white,Sicilian Defense
x4V0UDiq,black,Sicilian Defense
DuSEaxaU,white,French Defense
vz7PfFMk,black,Sicilian Defense
umOIRlaz,white,Sicilian Defense
NEsUUVDC,white,Sicilian Defense
8Y419qkq,white,Sicilian Defense
C8DqD3tb,black,French Defense
5w56AoAC,black,Italian Game
GEatTuzU,black,French Defense
JA53OUnQ,white,French Defense
3o7bL4Ow,black,Italian Game
AnnJL7OC,black,Sicilian Defense
vf4OkzfY,black,French Defense
pIGkE4Li,black,French Defense
vRV5bnC5,black,French Defense
5YzOVhv8,black,French Defense
kBqSZQIf,white,French Defense
3Vr7tPzZ,white,French Defense
4vUVw9w6,black,French Defense
Z8KU1ykB,white,French Defense
v3EwpOQ4,black,Sicilian Defense
RR4illOH,black,Sicilian Defense
VbRvVzSK,black,Sicilian Defense
5RjfS9aj,white,French Defense
lSP6rS5w,black,Sicilian Defense
q7i4RcHT,white,French Defense
Flb1Wmlg,black,Sicilian Defense
kDHFGoZl,black,Sicilian Defense
6r5wllEH,black,French Defense
9x7PHkAO,white,French Defense
wqqhbDVR,black,French Defense
q3PAvbfl,black,Italian Game
MN0aGea2,black,Sicilian Defense
o30dacOu,black,Italian Game
ou1Cu7iZ,black,Sicilian Defense
eBUtxG3l,white,Sicilian Defense
GJOBSzAq,black,Sicilian Defense
XKsO9nd2,white,Sicilian Defense
azl6GsCO,black,Italian Game
HXy4qECM,black,French Defense
jMbk5ms5,white,Italian Game
IFwDXC4P,black,Sicilian Defense
QyWDAXVu,black,Italian Game
XShBaH8A,black,French Defense
HQtI9O4I,black,French Defense
a7KkqrTY,white,French Defense
NUPyMWzM,white,Sicilian Defense
v094EOv4,white,French Defense
8yAezpe6,white,Italian Game
SFpGxoAV,white,French Defense
EOGl7Wix,white,Italian Game
2jRV6FDo,black,Sicilian Defense
1fELZsyN,black,French Defense
HECIVKUl,black,French Defense
hWxl57Dx,white,French Defense
0xhmhrm1,black,Sicilian Defense
RntH26Lq,black,Sicilian Defense
JKydvN6M,black,Italian Game
pab2URKk,black,Sicilian Defense
ID3m6TaI,white,French Defense
mrA1EZtP,white,Sicilian Defense
KvjMia8C,black,Sicilian Defense
EYNfmPHw,black,Sicilian Defense
Df6dyJkg,black,Sicilian Defense
tybVUEke,white,Sicilian Defense
lVbiTfW5,black,Sicilian Defense
WBacmrdA,black,Sicilian Defense
r8K0Sf99,black,Sicilian Defense
pQ0pfmvG,white,Sicilian Defense
bITmsSYL,black,Italian Game
XTrjnTnd,white,Italian Game
t2YM1cP5,black,Italian Game
44eVfkP8,black,Sicilian Defense
ZO1lrcV0,black,Sicilian Defense
db72YopS,white,Sicilian Defense
moyRGfB6,black,Italian Game
AzKZaw8g,white,French Defense
dd9DxmPn,white,Italian Game
eDLkv1kg,black,Sicilian Defense
4LqUgKgI,white,Italian Game
WcE4sqS3,black,Sicilian Defense
OuBmMus8,black,Italian Game
Ve5hxdyU,black,Sicilian Defense
VcgZvShk,white,Sicilian Defense
dD8NXmIE,black,Sicilian Defense
0b8o7PwC,black,Sicilian Defense
efIaVrq0,black,Sicilian Defense
OdtXITK9,white,Sicilian Defense
iXHWHtGg,black,French Defense
sUuxfKLo,black,Sicilian Defense
btRX748K,white,Sicilian Defense
zOYCgAo7,white,Sicilian Defense
aepqPU8w,black,Sicilian Defense
WAqKs7tf,black,Italian Game
LpKPKN7j,black,Sicilian Defense
3ltDbykZ,white,Sicilian Defense
88jYP2R7,black,Sicilian Defense
AyhpVNgU,black,Italian Game
J3JtREZj,white,Sicilian Defense
IZexjDK9,white,French Defense
wrUGowWQ,white,Sicilian Defense
4u2TvoUT,black,French Defense
8Lpz6aTe,white,Sicilian Defense
sWREKfud,black,Sicilian Defense
cXeSmj9Y,black,French Defense
Q9CScjZF,black,French Defense
X2Bu7jwq,black,French Defense
Rz20eEWW,white,Sicilian Defense
kmhJ0HpD,black,French Defense
wud6yne9,black,French Defense
q4HgxAMD,white,Sicilian Defense
FDHd0yRf,white,Sicilian Defense
ngD6Pt2d,white,Sicilian Defense
evTJ06D5,black,French Defense
NSklHTPJ,black,Italian Game
n2xDm4uq,black,Sicilian Defense
z8ilhy4G,white,Sicilian Defense
Wk7jfbfU,white,Sicilian Defense
kuw0jpH8,black,Sicilian Defense
KO0lkNjc,black,Italian Game
Ph5ZNbzU,black,Sicilian Defense
UEU38SNx,black,French Defense
jkBxWFiY,white,Sicilian Defense
28gf4cw0,white,Italian Game
xrmR0nj4,white,Sicilian Defense
HRPi7TrQ,black,Sicilian Defense
NUsbYwp6,white,Sicilian Defense
IGtPhdkR,white,Sicilian Defense
Tt8Kb3nS,black,Sicilian Defense
nNk9MHI5,white,Sicilian Defense
19ArzwYS,white,Sicilian Defense
ZtYZePhU,white,Sicilian Defense
SIKRcEMD,white,Sicilian Defense
a9glB1SK,black,Sicilian Defense
0zhnlKaU,black,Sicilian Defense
fY46oypq,black,Sicilian Defense
k3ZdA5JN,black,Sicilian Defense
GHDD6TVr,white,Sicilian Defense
duGWb6s7,white,Sicilian Defense
PpdQylxJ,white,Sicilian Defense
P9Tg3bIy,white,Sicilian Defense
dmrGSE5L,black,Sicilian Defense
MBbbCChu,black,Sicilian Defense
JbFacjLX,white,Sicilian Defense
MDLDX0v7,white,Sicilian Defense
D9NxM2ns,black,Sicilian Defense
dStdaoBv,white,Sicilian Defense
TP0I16GS,white,Italian Game
IxZtWKs1,black,Sicilian Defense
rk4DxJ2w,white,French Defense
Ep8ixJBd,black,French Defense
tN4uylH7,black,French Defense
DJ2fpuya,white,French Defense
rE7XkSTs,black,Sicilian Defense
xmmUUeKk,black,Sicilian Defense
0cFxy38E,black,Italian Game
KrwPLve9,white,Sicilian Defense
hVEMak9d,black,Italian Game
AWRJkslu,white,Sicilian Defense
MGZE48Oe,white,Italian Game
YCPtfgvx,white,Italian Game
hUQW6fh6,black,Italian Game
bmyC1oNK,black,Italian Game
MlnIaVj7,black,Sicilian Defense
8l3eqHgJ,black,Italian Game
PUQBs1qo,white,French Defense
SmCznocV,black,French Defense
it1fo5hs,white,French Defense
8nirqto6,white,French Defense
y2ULmSYR,black,French Defense
m7AqCdim,white,French Defense
lfmrt1pi,black,French Defense
vZ71MrQn,white,French Defense
NJJgaKDF,black,French Defense
1QKRhwcC,white,French Defense
IJUvdKvF,white,French Defense
iHHKUba1,white,French Defense
CPyD9qyN,white,French Defense
eby2jLXi,black,French Defense
37xkP5tx,black,French Defense
t5PCTILF,black,French Defense
XdqFMEb2,white,French Defense
lSxP0CT0,white,French Defense
k5E27pxY,white,Sicilian Defense
MlO9BkYK,black,Sicilian Defense
R4ll8FCR,white,Sicilian Defense
Ewoknaml,white,Sicilian Defense
I1PIQJOO,white,Sicilian Defense
py9Fv239,black,Sicilian Defense
tK79MIQY,white,Sicilian Defense
BdfcFJrw,white,Sicilian Defense
hQGUKEFb,white,Sicilian Defense
5ErkpB7G,white,Sicilian Defense
koUCYT4L,white,Sicilian Defense
VGPQKtbL,white,Sicilian Defense
CDglUpUj,black,Sicilian Defense
FO4GG6ui,white,French Defense
EDTgBNXJ,black,Sicilian Defense
kx2pPDyO,black,Sicilian Defense
qdRrMdNc,black,French Defense
kj9H0Xnm,black,Sicilian Defense
vOP4q9A5,white,Italian Game
YEMv4R7M,white,Italian Game
P4PlH6cy,white,Sicilian Defense
oXMxzVTZ,black,Sicilian Defense
KhTNxTvt,white,French Defense
tqwK4Jn7,white,Sicilian Defense
7loQGtf5,white,Sicilian Defense
CFJbuSeS,white,French Defense
KC1GIEm1,black,French Defense
lhNEFQvt,white,Italian Game
OpH9FEaz,white,Sicilian Defense
D2CXDuyE,black,Sicilian Defense
Bw6vpy6q,white,Sicilian Defense
n2KWaP92,black,Sicilian Defense
iK3bZnOm,black,French Defense
rgAkQ6Tk,black,Sicilian Defense
fCucsIsq,white,Sicilian Defense
HgVWPzyb,black,French Defense
Ms2ytMQn,black,Sicilian Defense
TaFfSpSi,white,Sicilian Defense
OdOeQ6kE,white,French Defense
j9SgenMn,white,Sicilian Defense
Nc0NTpxq,black,Sicilian Defense
7css420H,black,Italian Game
cOhBFfXt,white,Sicilian Defense
doLbC5CO,black,French Defense
wSN0CPmZ,white,French Defense
cNd3LPiZ,white,French Defense
hvBlnh5Y,black,Sicilian Defense
OPzeKLo0,black,Sicilian Defense
7N4lhSVW,white,Italian Game
ZYnHJzWV,white,Sicilian Defense
qWEk1GXm,white,Sicilian Defense
fMNP1Wop,white,Sicilian Defense
IXvfcuQX,white,Sicilian Defense
nvRREqtO,white,Sicilian Defense
N8U7SnvR,black,French Defense
fPkGRJ7W,black,Italian Game
JjFnkDfV,black,French Defense
nZENv3tc,black,French Defense
L02iUU1G,white,French Defense
5lCnIeyV,white,Italian Game
daz4Kle6,black,Italian Game
VHDUcQr0,white,Italian Game
AHcc7Oy2,white,Italian Game
ZNZALdFK,white,Italian Game
EzyLrXdo,white,Sicilian Defense
QmeDOLbf,black,French Defense
3VWDqgmM,white,Sicilian Defense
ZLUEyqYJ,black,French Defense
tkiSbgwP,white,Italian Game
gwXHkwqD,white,French Defense
V9s3NW2S,black,Italian Game
XOJsYEnU,black,Sicilian Defense
DWBpoExR,black,Sicilian Defense
pFnWqyxE,black,French Defense
NFrQStzV,black,Sicilian Defense
9uISXGeS,black,Sicilian Defense
x9WDuYjw,black,Sicilian Defense
foSnaQwc,white,French Defense
izh1eWxg,black,French Defense
vSENSIos,white,French Defense
fOjcw1qJ,white,French Defense
FgkRqlAE,white,French Defense
rh3SPH5A,black,French Defense
PKj8s11H,black,French Defense
DxB8t15W,black,French Defense
2hZLVPEJ,white,French Defense
DOS7yETL,black,French Defense
VuUqrRD7,black,French Defense
y1JMAG40,black,French Defense
VdQFdHSj,white,French Defense
9o2K8tQf,white,French Defense
aRN4DINX,black,French Defense
3qbD8DPO,white,French Defense
S3sRxcvL,white,French Defense
jz6pSENJ,white,French Defense
j57SWUC4,black,French Defense
sw6Nlw3m,white,French Defense
uo2WmrNP,white,Sicilian Defense
OkQVUZnh,white,French Defense
brHNZCet,black,Sicilian Defense
N25ppiIR,white,Italian Game
D44CKaUd,white,Sicilian Defense
u3L5cZgL,black,French Defense
BcehrrJr,white,Sicilian Defense
VOooXmA3,white,French Defense
YCRbhsw4,black,Italian Game
7yCsLqnd,white,French Defense
6FDJ2Kmi,black,Italian Game
ecCUMZCo,white,French Defense
3NyrG7Qp,black,Sicilian Defense
CRtUgeNG,black,Sicilian Defense
6Eu2GURG,white,Sicilian Defense
UzK55lrM,black,Sicilian Defense
7NaRbrlA,black,Sicilian Defense
mrNOpD5C,black,French Defense
IMyqf8O6,white,French Defense
kyq4VRd7,black,French Defense
bvEPtMim,black,Italian Game
Y74Zg2A2,white,Italian Game
ouADHkUk,white,Sicilian Defense
eoPFccWd,white,Sicilian Defense
Wt2JZmTJ,white,Sicilian Defense
ShrGLi79,black,Sicilian Defense
WeRnOFes,black,Italian Game
nRUTyx0m,black,Sicilian Defense
urWwvItl,white,Italian Game
zd5p6Biq,white,Sicilian Defense
SZB16KyN,white,Sicilian Defense
3zPdO0ee,white,Italian Game
qHLYFK5b,white,Sicilian Defense
19TT4sOw,black,Sicilian Defense
NrrjmNJ2,black,Sicilian Defense
KkSRbUPQ,black,Sicilian Defense
nG0H6mnr,black,Sicilian Defense
10n7m2Yb,white,Sicilian Defense
XJEo8eAc,white,Sicilian Defense
ZytLJjpW,white,Sicilian Defense
YZ8SFytU,white,Sicilian Defense
GtLnX9jb,black,French Defense
r63ZoagW,black,French Defense
CoDTXvDw,black,Sicilian Defense
m1wwFUv2,white,Sicilian Defense
QdOw7qaR,white,Sicilian Defense
FuOzm69e,black,Sicilian Defense
Dz7254on,white,Sicilian Defense
hIGBtGza,black,Sicilian Defense
b61ShR4F,white,Sicilian Defense
WEUdGqDa,white,Italian Game
UjzdHRbB,black,French Defense
3CqEsKVE,black,French Defense
x1Tienfp,black,Sicilian Defense
XuQ6l7eu,white,Italian Game
KdNS5igI,white,Sicilian Defense
akJMiDuY,black,Italian Game
Me9VtBdH,black,Sicilian Defense
Jei2FweC,black,French Defense
31H4nPmU,white,French Defense
u8QXbQAE,black,French Defense
rDf7QFqe,black,Italian Game
jmGRxiSC,black,Sicilian Defense
XoUyJm07,white,French Defense
JSbaPsqC,white,Sicilian Defense
NPAK2Ve8,white,French Defense
qnhXn8XO,white,Sicilian Defense
9n9yEyUZ,white,Italian Game
JFoFVEub,white,Sicilian Defense
ZQG7q460,white,Italian Game
8EYPAUoe,white,Italian Game
BqsbfUpt,white,French Defense
3mRl37kj,black,Italian Game
fr3tsO2l,black,Sicilian Defense
1zfyE6gu,white,Italian Game
8Tx0TwVS,black,Sicilian Defense
5ZCYSVAc,black,Sicilian Defense
eYEfVMR5,white,Italian Game
b1Z5y5jh,black,Italian Game
FRfqmQ3Y,black,Sicilian Defense
eFAmvfs3,black,French Defense
HPRNUBT0,black,Italian Game
j7mQOC0W,white,Sicilian Defense
ZlObZAev,white,Sicilian Defense
ITvWiWWm,white,Sicilian Defense
81bZw6Ew,black,Sicilian Defense
uIwH01CP,black,Sicilian Defense
65YNBbH4,white,French Defense
dyN8RCxT,white,French Defense
By3cxy3b,black,French Defense
ZqBbsTmC,black,French Defense
U1rGL65Y,white,French Defense
8FyZBmFA,white,French Defense
RFp5hdYP,white,French Defense
ih4m0Wa9,white,Sicilian Defense
2Bk0huLQ,black,Sicilian Defense
BoUWdwT1,white,Sicilian Defense
Q8igMpuD,black,French Defense
RY2ZX22x,white,Sicilian Defense
r36xEZFr,white,Sicilian Defense
YvLqvP6p,white,Sicilian Defense
L3nqlnqU,white,Sicilian Defense
wzArDq8e,black,Sicilian Defense
wI91f3Tm,white,Sicilian Defense
DXnBPHr6,white,French Defense
vbRiHsbm,white,Italian Game
f9UkUOBY,black,French Defense
jyDLOgYe,white,Sicilian Defense
2U8wFa9A,black,Sicilian Defense
AgP567Cl,black,Italian Game
tVYeiMrD,white,Italian Game
4uVuAX6p,white,French Defense
Qp7fD51q,black,French Defense
KuWN4iCa,black,French Defense
7yttv6uY,white,French Defense
xHDGKgIo,black,French Defense
juDrvNZb,white,French Defense
1y4rqqSf,black,French Defense
6ry1PCQE,black,French Defense
DftJJeIP,black,French Defense
tfmoVlG7,black,French Defense
5emzRJpL,white,French Defense
mqwohwBY,white,French Defense
7grxDnlZ,white,French Defense
PHnPqIYg,white,French Defense
EDbv1LZH,black,French Defense
DXsgPGQB,black,French Defense
9GIc1NzJ,black,French Defense
Ukex6RBa,black,French Defense
B7YastXb,black,French Defense
2HN2z2wp,white,French Defense
PgrQhxmi,white,French Defense
ECMNZyY1,white,French Defense
qV8JZBEt,black,Italian Game
